iter	Logloss
0	0.6654307231
1	0.6435691812
2	0.6264249972
3	0.6138016786
4	0.6033833948
5	0.5940492096
6	0.5857681724
7	0.5797749269
8	0.5747325897
9	0.5709209367
10	0.5674276756
11	0.5650509675
12	0.5615495801
13	0.5591145289
14	0.5564443698
15	0.5536419233
16	0.5522679573
17	0.5501318946
18	0.5483962684
19	0.546828178
20	0.5454484198
21	0.5442147362
22	0.5429578833
23	0.5414035413
24	0.5393770858
25	0.5381787651
26	0.5368312808
27	0.5357621125
28	0.5344633575
29	0.5337651808
30	0.5330400306
31	0.5317649006
32	0.5308362962
33	0.5302329206
34	0.5296810706
35	0.5281367606
36	0.5276819587
37	0.526675382
38	0.5263013523
39	0.5250291827
40	0.524458608
41	0.5239476169
42	0.5233232116
43	0.5227466478
44	0.5216981616
45	0.5208115338
46	0.520370257
47	0.5197401111
48	0.5187429824
49	0.5181365924
50	0.5178488748
51	0.5172499254
52	0.516834011
53	0.5162535973
54	0.5159746736
55	0.5154732054
56	0.5151800482
57	0.5140805072
58	0.5134106815
59	0.5132129321
60	0.5118801347
61	0.5116604874
62	0.5114316014
63	0.5111207895
64	0.5107977281
65	0.5105026913
66	0.5101964209
67	0.5099212831
68	0.5095670982
69	0.5093480042
70	0.5090444262
71	0.5081066698
72	0.5057906101
73	0.5055270332
74	0.5053177126
75	0.505176309
76	0.5049861077
77	0.5042357715
78	0.503968924
79	0.5036804786
80	0.5033734963
81	0.5029810528
82	0.5027666166
83	0.5015371528
84	0.5007666126
85	0.4995758845
86	0.4993892414
87	0.4990964023
88	0.4984292623
89	0.498215731
90	0.4978767996
91	0.4968252185
92	0.4957453098
93	0.4955332018
94	0.4943870226
95	0.4942333855
96	0.4939144231
97	0.4927302725
98	0.4921853405
99	0.4912358362
100	0.4893284129
101	0.486980256
102	0.4863254371
103	0.4854650374
104	0.4852039673
105	0.4834886316
106	0.4831921187
107	0.4829281725
108	0.4823824741
109	0.4821433175
110	0.4811344048
111	0.4805311156
112	0.4797345502
113	0.4795299732
114	0.4781406698
115	0.4779397527
116	0.4776582118
117	0.4771841195
118	0.4764445701
119	0.4747979029
120	0.4746164829
121	0.4736454965
122	0.4725369786
123	0.4720552945
124	0.4712711073
125	0.4700184759
126	0.4689632875
127	0.467602744
128	0.4672204284
129	0.4669681032
130	0.4663986709
131	0.4648951051
132	0.4645057376
133	0.4643569643
134	0.4640239963
135	0.4637197253
136	0.4632597724
137	0.4625917487
138	0.4623501068
139	0.4610113571
140	0.4608001696
141	0.4602007985
142	0.4592477647
143	0.4588926751
144	0.458475216
145	0.4582526419
146	0.4580462127
147	0.4578032182
148	0.4574661042
149	0.4572181294
150	0.4567897683
151	0.4559355396
152	0.4557050722
153	0.4554794655
154	0.4553085257
155	0.4537293169
156	0.4535749632
157	0.4527577111
158	0.4518958342
159	0.4512441985
160	0.4502631204
161	0.4499171306
162	0.4497823314
163	0.4494584572
164	0.4492454514
165	0.4490502765
166	0.4486381713
167	0.4474867387
168	0.4471892923
169	0.4469650784
170	0.4464685486
171	0.445742208
172	0.4455822097
173	0.4448922518
174	0.4446177259
175	0.4443683181
176	0.4433746031
177	0.4432013516
178	0.4429831089
179	0.4425435457
180	0.441950067
181	0.441734933
182	0.4414565314
183	0.4412619729
184	0.4410605315
185	0.4408292903
186	0.4405843647
187	0.4404225935
188	0.4400727305
189	0.439361426
190	0.4386086334
191	0.4383716927
192	0.4382026936
193	0.4376893527
194	0.4373213351
195	0.4371907405
196	0.4368221111
197	0.4366633557
198	0.4364113789
199	0.4361383572
200	0.4351647267
201	0.4350017315
202	0.4346048274
203	0.4344865428
204	0.4342335342
205	0.4341081799
206	0.4337622843
207	0.4334287044
208	0.4332142957
209	0.4330797088
210	0.4328652941
211	0.4326157151
212	0.4319287384
213	0.431716813
214	0.4315937306
215	0.4314390407
216	0.4311135954
217	0.4309314596
218	0.4306870896
219	0.4302684192
220	0.4300396413
221	0.4298556226
222	0.4294397739
223	0.4292757859
224	0.428962009
225	0.4287903389
226	0.428465895
227	0.4283343258
228	0.4280831899
229	0.427965648
230	0.427763716
231	0.4276199858
232	0.427470173
233	0.4272900781
234	0.4269649619
235	0.4267733523
236	0.4266582935
237	0.4263238491
238	0.4261226726
239	0.4258784836
240	0.4257173249
241	0.4256074791
242	0.4254066653
243	0.4252495086
244	0.4246858745
245	0.4243841018
246	0.4242729175
247	0.4240770396
248	0.4239048275
249	0.4237352351
250	0.4235988784
251	0.4234127687
252	0.4232212964
253	0.4230070483
254	0.4228578806
255	0.4225347239
256	0.4223528761
257	0.4221895901
258	0.4219459198
259	0.4217858327
260	0.4215233489
261	0.4212845949
262	0.4210159866
263	0.4206277118
264	0.420511456
265	0.4203548424
266	0.4202551956
267	0.4199672147
268	0.419773131
269	0.4196497701
270	0.4194482459
271	0.4192863406
272	0.4188729736
273	0.41877567
274	0.4186681665
275	0.4185769378
276	0.4184572016
277	0.4183002626
278	0.4180716266
279	0.4179072604
280	0.417704941
281	0.4174945656
282	0.4173597087
283	0.4172030234
284	0.4169816283
285	0.4167631897
286	0.4166312335
287	0.4164829512
288	0.4163309601
289	0.4162000841
290	0.4161050665
291	0.4159482926
292	0.4158137375
293	0.4155502477
294	0.4153719377
295	0.4151727898
296	0.4150408069
297	0.4148586508
298	0.4146841922
299	0.414345919
